Title,Year,EID,Abstract,Publisher,Conference name,Conference date,Authors,Author(s) ID,Authors with affiliations,Source title,Abbreviated Source Title,Cited by
Campus explorer: Facilitating student communities through gaming,2018,2-s2.0-85063165391,"University students are often highly focused on their current lectures and imminent exams and thus neglect to interact with students across departments and to engage in campus life. To facilitate a more closely-knit community of university students, we evaluate a set of suitable core game mechanics, social features, and reward systems to motivate students to explore their university and to meet other students. Our prototype mobile application implements a location-based approach and includes game mechanics such as building check-ins, meeting other students, campus expeditions, and campus events. We evaluate the potential of our approach using both qualitative and quantitative data collected during an initial playtesting phase. Our analysis has shown that our location-based mechanics and a focus on social features were well received by students. Players engaged in exploring the campus and see potential in location-sharing and future collaboration features. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"Bürgisser B., Zünd F., Pajarola R., Sumner R.W.",57207876021;56104206700;6701624951;9040664600;,"Bürgisser, B., University of Zurich, Switzerland; Zünd, F., ETH Zurich, Switzerland; Pajarola, R., University of Zurich, Switzerland; Sumner, R.W., ETH Zurich, Switzerland","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",
Exploring the impact of ambiguous icons in mobile web interfaces,2018,2-s2.0-85063164365,"Signs and icons are a fundamental part of the user interface (UI). They are mechanisms of interaction between humans and devices (including mobile devices), and they enable users to achieve tasks. Users typically act on icons as a consequence of their understanding of the icon’s visual representation. Meaningful icons enhance users' comprehension, whereas ambiguous icons increase users’ confusion. However, little is known about the confusion that may be caused by ambiguous icons in a sequence of interactions. In other words, there is scarce research regarding the effect of the navigational order or interaction sequence that users undertake on their interpretation of ambiguous icons. Thus, this paper explores the impact of ambiguous icons on the accuracy of users’ interpretations. Ambiguity is controlled by using pairs of visually identical icons with two different meanings. A semiotic analysis was conducted to investigate users' comprehension of the icons and elicit the causes for their interpretations. We also provide insight into the cognitive processes within working memory and the inherent deliberation, reasoning and comprehension processes that influence users’ interpretations. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"AlNuwaiser W., Wilson S., Buchanan G.",57201991612;35427038900;35182392700;,"AlNuwaiser, W., City, University of London, London, United Kingdom; Wilson, S., City, University of London, London, United Kingdom; Buchanan, G., University of Melbourne, Melbourne, Australia","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",
Usability assessment of facial tracking for use in clinical outcomes and applications,2018,2-s2.0-85063162532,"There is an ever-growing body of facial tracking assessment applications available within the health and wellness sector. One of the most prominent areas is the use of 3D cameras and processing technologies in the development of rehabilitation interventions and in the measurement of health outcomes. Recent advancements in facial tracking applications within mobile platforms and cloud computing analytics suggests that new clinical assessment and human computer assessment technologies have significant future potential for pervasive in-clinic and field-based health assessment solutions. This paper reviews the technical capabilities of three facial tracking platforms with a focus on the common issues relating to clinical measurement considerations required for patient-facing systems. Key factors are assessed in relation to 3D camera platforms, mobile applications and cloud computing applications including camera position, lighting and shadows, eye detection and common obstructions or features that affect tracking. Published examples of facial tracking clinical and health wellness applications are presented in relation to human computer interaction interfaces. This paper aims to demonstrate the potential for future applications being developed relating to each of these technologies for clinic-based applications. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"Siena F.L., Byrom B., Watts P., Breedon P.",57189580045;6603466613;57200203048;36705567400;,"Siena, F.L., Nottingham Trent University, 50 Shakespeare Street, Nottingham, NG1 4FQ, United Kingdom; Byrom, B., CRF Health, Brook House - 3rd Floor, 229-243 Shepherds Bush Road, Hammersmith, London, W6 7AN, United Kingdom; Watts, P., Nottingham Trent University, 50 Shakespeare Street, Nottingham, NG1 4FQ, United Kingdom; Breedon, P., Nottingham Trent University, 50 Shakespeare Street, Nottingham, NG1 4FQ, United Kingdom","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",
Modelling user experience: Integrating user experience research into design education,2018,2-s2.0-85063161261,"The last two decades have given a new lease of life to the interpretation of users’ interactions with products in human-computer interaction (HCI) and design domains. As a fast growing field, user experience (UX) brought along multifarious endeavors to frame this new field’s definition and components. In the midst of this burgeoning field, many design related domains started to embrace the terms experience, services, and systems rather than a mere product focus. Academia’s efforts to define what UX really is, influenced the practice by trying to investigate how UX can be put in action. Hence, growing demand from industry created a need for fully trained and specialized UX designers, turning the attention back again to academia. Although one of the most critical components of UX is research to understand users, their interactions, environments, and even the invisible factors; selecting and applying appropriate methods and tools are of high challenge due to concomitant dependence of experiences on subjective perceptions, contextual ties, and timewise conditions. In this light, we have devised a course to be integrated into design education at graduate level with the aim of teaching how to comprehend, interpret, and communicate UX to present input for the design process with a special approach. The particular approach is “modelling UX” because designing for experience and evaluating the success of design output, as well as bethinking scientific improvements and improving the practice, entail investigating experiences with opportune research methods. After delineating background for devising a UX course, this paper dwells on the objectives, content, structure, and outputs of our course; which would be a scaffolding resource for efforts to integrate UX research into design education. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"Yargın G.T., Süner S., Günay A.",56611984300;57192982753;6701907750;,"Yargın, G.T., Middle East Technical University, BILTIR-UTEST Product Usability Unit, Department of Industrial Design, Dumlupinar Bulv. Universiteler Mah. No: 1, Ankara, 06800, Turkey; Süner, S., Middle East Technical University, BILTIR-UTEST Product Usability Unit, Department of Industrial Design, Dumlupinar Bulv. Universiteler Mah. No: 1, Ankara, 06800, Turkey, TED University, Department of Industrial Design, Ziya Gökalp Caddesi No.48, Kolej Çankaya, Ankara, 06420, Turkey; Günay, A., Middle East Technical University, BILTIR-UTEST Product Usability Unit, Department of Industrial Design, Dumlupinar Bulv. Universiteler Mah. No: 1, Ankara, 06800, Turkey","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",
Probabilistic and bottleneck tandem features for emotion recognition from videos,2018,2-s2.0-85063160971,"This paper proposes a tandem based approach for handcrafted features optimization in facial expression recognition (FER) in the wild. The approach trains an artificial neural network (ANN) to generate new trainable features: probabilistic features and bottleneck features. The former are generated from the class probabilities estimates and the latter are obtained from the activations of a narrow hidden layer in the ANN. In this work, we train a multi-layer perceptron (MLP) on Local Binary Patterns on Three Orthogonal Planes (LBP-TOP) features to extract the so-called probabilistic and bottleneck features. Support Vector Machines (SVM) are used to predict one of the seven emotion categories (anger, disgust, fear, happiness, sadness, surprise and neutral) from the Acted Facial Expression in the Wild (AFEW) database. Noteworthy improvements are shown in the classification accuracy. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"Kasraoui S., Lachiri Z., Madani K.",57207879247;6507731669;7005650228;,"Kasraoui, S., University of Tunis el Manar, LR-SITI Laboratory, National Engineering School of Tunis, BP.37 Le Bélvedère, Tunis, 1002, Tunisia; Lachiri, Z., University of Tunis el Manar, LR-SITI Laboratory, National Engineering School of Tunis, BP.37 Le Bélvedère, Tunis, 1002, Tunisia; Madani, K., Université Paris-Est, University Paris-Est Créteil, LISSI EA-3956 Laboratory, Senart-FB Institute of Technology, 36-37 rue Charpak, Lieusaint, 77127, France","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",2.0
A blind watermarking method for CityGML,2018,2-s2.0-85063159695,"We propose a blind watermarking method for CityGML in this paper. Firstly, we parse the CityGML text file and select the virtual 3D city model for watermarking. Secondly, we transform the model by using geometric invariance. Then, we transform the Cartesian coordinate to the Spherical coordinate to obtain the sphere radii of each vertex. Finally, we insert the watermark by altering the DCT coefficients of the sphere radii segment. We conduct several experiments using different parameters to explore the watermark payload. The method can embed 64 bits watermark into a CityGML model. In addition, it shows good robustness against adding noise, rotation, uniform scaling, translation, and vertices reordering attacks. However, it still has drawbacks under cropping and simplification attacks. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"Jiang D., Kim J.",56026324200;7601378527;,"Jiang, D., Dept. of Copyright Protection, Sangmyung University, Seoul, South Korea; Kim, J., Dept. of Electronics Engineering, Sangmyung University, Seoul, South Korea","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",1.0
A proposal for an ARM framework for F2P mobile games,2018,2-s2.0-85063159238,"The mobile game market grows year after year through new distribution methods, design techniques and specific trends. The free-to-play (F2P) business model has been standing out in mobile app stores showing to be currently the most profitable way to monetize mobile games. User acquisition, retention and monetization are the main categories of an analytic business model framework, called ARM. However, the strategies used to acquire, retain and monetize users are spread throughout multiple sources, which makes the work of game designers and companies more difficult when developing the ARM strategy for a game. In this work, we present an ARM framework for F2P mobile games, which list and organize these strategies in a single source, considering categories, subcategories and specific elements. In this paper, we present the first version of the framework with a set of forty-five elements, eight subcategories, and three main categories. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"de Medeiros Filho M.B., de Mendonça Fernandes F.M., de Souza F.M.C.O., das Neves A.M.M.",57207876415;57203120798;57207880216;55586102100;,"de Medeiros Filho, M.B., Universidade Federal de Pernambuco, Brazil, Faculdade Estácio da Paraíba, Brazil; de Mendonça Fernandes, F.M., UNIDCOM/IADE - Unidade de Investigação em Design e Comunicação, Av. D. Carlos, I, 4, Lisboa, 1200-649, Portugal; de Souza, F.M.C.O., Universidade Católica de Pernambuco, Brazil; das Neves, A.M.M., Universidade Federal de Pernambuco, Brazil","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",
Redesign of the bank reconciliation interface of the ContaAzul software,2018,2-s2.0-85063158925,"This paper details the redesign process of the bank reconciliation interface of ContaAzul, an online cloud-based financial management software for small businesses in Brazil. The reconciliation is a feature that allows the users to import bank account statements and easily register them into the software, generating automated reports that help the financial control of the small companies. The research problem was motivated by use cases that are not covered in the current version of this feature, as well as by recent technological advances, such as application programming interfaces (APIs) and similar software available in the market, justifying the redesign. Interaction design was chosen as the project approach and Garrett’s five planes as the methodology. As the final deliverable, a prototype was composed of static, bitmap screens, elaborated from a participatory design perspective, which was presented to the software engineering team for further implementation. This research was developed as a course conclusion project in the Master’s Degree in Design of University of the Region of Joinville, which is focused on industry-based, applied research and development. The first author of this paper is one of the design coordinators of ContaAzul company and co-responsible for the aforementioned feature. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"de Menezes Neto J.A., Aguiar V.R.L.",57207885107;57207874981;,"de Menezes Neto, J.A., University of the Region of Joinville, Joinville, Santa Catarina, Brazil; Aguiar, V.R.L., University of the Region of Joinville, Joinville, Santa Catarina, Brazil","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",1.0
BlueEyes – Easing the navigation and orientation of blind people,2018,2-s2.0-85063158706,"As reported by the World Health Organization (WHO), of the 7 billion people alive today, an estimated 253 million live with visual impairment that cannot be corrected with glasses or contact lenses. From these, 30 million blind or partially sighted persons live in Europe. Over the past years, blindness that is caused by diseases has decreased due to the success of public health actions. However, the number of blind people that are over 60 years old is increasing by 2 million per decade. Unfortunately, all these numbers are estimated to be doubled by 2020. With these facts, is necessary to bring awareness and understanding of the challenges blind people face and help to motivate research into new technology to answer those questions. This document starts to identify the challenges people with visual disabilities face in their life. The problem of navigation and orientation as well the different possibilities to deal with the locomotion situation is also addressed in this paper. It describes the traditional navigational solutions as well other which involves more sophisticated technological devices and their multimodal interfaces. The paper ends with the description of the BlueEyes project (Orvalho, 2016), consisting in a solution to help blind people moving in a city. The first phases of the project are described, and the actual research situations is also slightly explained. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"Silva M., Gomes A., Teixeira A.R., Orvalho J.",57213772851;15730745400;7202385348;57195366753;,"Silva, M., Coimbra Education School, Polytechnic of Coimbra, Rua Dom João III – Solum, Coimbra, 3030-329, Portugal; Gomes, A., Coimbra Education School, Polytechnic of Coimbra, Rua Dom João III – Solum, Coimbra, 3030-329, Portugal; Teixeira, A.R., Coimbra Education School, Polytechnic of Coimbra, Rua Dom João III – Solum, Coimbra, 3030-329, Portugal; Orvalho, J., Coimbra Education School, Polytechnic of Coimbra, Rua Dom João III – Solum, Coimbra, 3030-329, Portugal","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",
Local ternary descriptor for 3D model matching and retrieval,2018,2-s2.0-85063158646,"Qmodel Creator is a software for designing block (LEGO) style 3D models using intuitive drawing methods. The produced models are composed of cubes, which are conveniently encoded using voxel-based representation. To support content-based search and retrieval for models generated with Qmodel Creator, we proposed a feature descriptor defined as 3D local ternary descriptor (3DLTD) in this paper. To begin with, we partition the bounding box of each model into cubes and then divide cubes into voxels. Weights are assigned to each voxel according to its distance to the boundary. We randomly select 64 pairs of voxels in each cube and generate a ternary code based on the relationship between each pair of voxels. Weighted bipartite matching is employed to compute the similarity between two models. Experimental results indicate that 3DLTD is suitable for comparing and searching voxel-based 3D models. Compared with 3DBRIEF, our proposed framework is more robust and efficient thanks to the two-level partition. Ternary encoding also promotes feature representativeness and noise immunity while maintaining overall efficacy. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"Liao W.-H., Wang C.-M., Wu Y.-C.",7203057074;57207882144;56582896300;,"Liao, W.-H., Dept. of Computer Science, National Chengchi University, Taipei, Taiwan; Wang, C.-M., Dept. of Computer Science, National Chengchi University, Taipei, Taiwan; Wu, Y.-C., Dept. of Computer Science, National Chengchi University, Taipei, Taiwan","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",
Fortune8: Emotive family entertainment,2018,2-s2.0-85063158644,"The onset of aging heath is a transition in an individual’s lifetime that can become as vexatious as it is inevitable. The human body gradually weakens as arthritis, blindness, heart disease and multitudes of other ailments begin to take root. Examining the present product market, nearly all products catered towards the elderly user demographic consist of tools designed to assist the various physical limitations that heighten with age. Products such as canes, hearing devices, and monitors have established a dominant presence in the user market to provide elders with the aid they require to effectively cope with their respective maladies. Despite this, a significant portion of the elder demographic struggles daily with debilitating cognitive disorders. Mental illnesses pose as much of a crippling impact on elders as do physical ailments, but the current market struggles to offer any solutions for these issues beyond psychological counseling and prescribed medicine. Looking beyond disorders such as Alzheimer’s and dementia, research studies outline the shocking prevalence of underlying mental stigmas such as anxiety and loneliness in elders. Fortune8 is a conceptual entertainment console designed to help elucidate the needs of elderly users who suffer from cognitive stigmas and attend to their specific requirements by attempting to innovate an overshadowed market demographic. The project’s background, research, and conceptualization are detailed in this paper as well as descriptions and features of the final product that were presented to a panel of judges at Arizona State University. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,Ku A.,57207884953;,"Ku, A., Arizona State University, Tempe, AZ, United States","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",
Evaluating usability and engagement in a money management tool for users with intellectual disability,2018,2-s2.0-85063153967,"Managing one’s own money is important for self-determination and is an area where persons with intellectual disability may need support (Davies et al, 2003). My Money Counts (MMC) is a visual money management application currently in development at Dun Laoghaire Institute of Art, Design, and Technology (IADT) in collaboration with the Money Advice and Budgeting Service (MABS) and Carmona Services. This research project aimed to evaluate the usability and engagement of MMC at its current stage of development. It also aimed to compare observational with self-reported evaluations for both usability and engagement. Participants were ten adults with intellectual disability. A mixed methods approach used controlled observations, qualitative thematic analysis and self-report questionnaires. Findings indicated significant usability issues with the My Money Counts application; engagement was moderately positive. Comparison of self-reported and observed evaluations revealed that observed usability was very poor while self-reported usability was positive; observed engagement was moderately positive while self-reported engagement was very positive. These findings are discussed along with implications, strengths and weaknesses of the study, and suggestions for future research. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"Kavanagh E., McDonnell M., Dowler R., Connolly I.",57207877555;57200193819;57207876612;11041590100;,"Kavanagh, E., Institute of Art, Design and Technology (IADT), Dun Laoghaire, Co, Dublin, Ireland; McDonnell, M., Institute of Art, Design and Technology (IADT), Dun Laoghaire, Co, Dublin, Ireland; Dowler, R., Institute of Art, Design and Technology (IADT), Dun Laoghaire, Co, Dublin, Ireland; Connolly, I., Institute of Art, Design and Technology (IADT), Dun Laoghaire, Co, Dublin, Ireland","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",
The effect of background instrumental music on emotion and performance,2018,2-s2.0-85063149696,"Music affects the listener behavior and emotion, but this condition depends on variables of music design. In this regard, the present study aims to compare the emotional state, task load and performance under three different sound conditions determined by the tempo, articulation, mode, and metre of the songs. To achieve this end, we implemented a web-based tool in which the users’ interaction was designed to be counter-intuitive and difficult. The tool collected several types of events during the interaction to measure the performance. The results revealed that the interaction was complicated and that required attention and effort to achieved a desired result. Besides, in general, the emotional state was not negatively affected by the condition. Nevertheless, outcomes illustrated important trends in task performance (i.e. final decisions, number of bad submissions, scroll direction changes, time spent, and time perceived) and task load (i.e. frustration) when comparing the three sound conditions. Thus, it is important to widen the experimental sample size to test for significance in the difference among different sound conditions. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"Rodríguez B., Arce-Lopera C., Arboleda A.M., Diaz-Cely J., Correa J., Montoya P.",57205719068;35387409600;25122291300;57195538513;57207881261;57207884555;,"Rodríguez, B., Universidad Icesi, Calle 18 No. 122-135 Pance, Cali, Colombia; Arce-Lopera, C., Universidad Icesi, Calle 18 No. 122-135 Pance, Cali, Colombia; Arboleda, A.M., Universidad Icesi, Calle 18 No. 122-135 Pance, Cali, Colombia; Diaz-Cely, J., Universidad Icesi, Calle 18 No. 122-135 Pance, Cali, Colombia; Correa, J., Musicar SAS, Avenida 2D No. 24N -75, Cali, Colombia; Montoya, P., Musicar SAS, Avenida 2D No. 24N -75, Cali, Colombia","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",
Automatic table tennis scoring system based on smart wearable devices,2018,2-s2.0-85063148604,"Recently people's interests in health care are increasing, and many wearable device manufacturers have released various kind of fitness trackers for exercises and activities. However, most of them are focused on personal activities not on group activities. In this paper, we propose a system that automatically scores a table tennis game by using smartwatches and smartphones. The system analyses sensor data from the smartwatches, detects sound of a ball and calculates scores based on table tennis scoring algorithm. To evaluate the system, we collected 521 swing data and 50 ball sound data from 5 people, and the accuracy was 97.8%(510/521) and 82%(41/50), respectively. We expect that this system can be applied in a wide range of group activities with a low expense. © 2018.",IADIS,"12th International Conference on Interfaces and Human Computer Interaction 2018, 11th International Conference on Game and Entertainment Technologies 2018 and 12th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2018, part of the Multi Conference on Computer Science and Information Systems 2018, MCCSIS 2018",18 July 2018 through 20 July 2018,"Noh S., Lee Y., Kim Y., Cho J., Choi A.",57195517413;57207874788;57207877137;57202585961;57193550851;,"Noh, S., Department of Software, Gachon University, Seongnam, 13120, South Korea; Lee, Y., Department of Software, Gachon University, Seongnam, 13120, South Korea; Kim, Y., Department of Software, Gachon University, Seongnam, 13120, South Korea; Cho, J., Department of Software, Gachon University, Seongnam, 13120, South Korea; Choi, A., Department of Software, Gachon University, Seongnam, 13120, South Korea","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018","MCCSIS - Multi Conf. Comput. Sci. Info. Syst.; Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process.",
