,id,Geographic Area Name,Estimate!!Gini Index,year
0,0500000US25001,"Barnstable County, Massachusetts",0.4585,2017
1,0500000US25003,"Berkshire County, Massachusetts",0.464,2017
2,0500000US25005,"Bristol County, Massachusetts",0.4562,2017
3,0500000US25007,"Dukes County, Massachusetts",0.5096,2017
4,0500000US25009,"Essex County, Massachusetts",0.4775,2017
5,0500000US25011,"Franklin County, Massachusetts",0.4514,2017
6,0500000US25013,"Hampden County, Massachusetts",0.4682,2017
7,0500000US25015,"Hampshire County, Massachusetts",0.4597,2017
8,0500000US25017,"Middlesex County, Massachusetts",0.4704,2017
9,0500000US25019,"Nantucket County, Massachusetts",0.4674,2017
10,0500000US25021,"Norfolk County, Massachusetts",0.4771,2017
11,0500000US25023,"Plymouth County, Massachusetts",0.4468,2017
12,0500000US25025,"Suffolk County, Massachusetts",0.5344,2017
13,0500000US25027,"Worcester County, Massachusetts",0.4547,2017
0,0500000US25001,"Barnstable County, Massachusetts",0.4553,2013
1,0500000US25003,"Berkshire County, Massachusetts",0.4711,2013
2,0500000US25005,"Bristol County, Massachusetts",0.4532,2013
3,0500000US25007,"Dukes County, Massachusetts",0.4564,2013
4,0500000US25009,"Essex County, Massachusetts",0.472,2013
5,0500000US25011,"Franklin County, Massachusetts",0.42,2013
6,0500000US25013,"Hampden County, Massachusetts",0.4644,2013
7,0500000US25015,"Hampshire County, Massachusetts",0.4443,2013
8,0500000US25017,"Middlesex County, Massachusetts",0.4706,2013
9,0500000US25019,"Nantucket County, Massachusetts",0.479,2013
10,0500000US25021,"Norfolk County, Massachusetts",0.4768,2013
11,0500000US25023,"Plymouth County, Massachusetts",0.4376,2013
12,0500000US25025,"Suffolk County, Massachusetts",0.5244,2013
13,0500000US25027,"Worcester County, Massachusetts",0.4393,2013
